id_known,id_unknown,is_max,proximity,average_dist_normalized,sorted_rank,num_atoms,cosine,matched,shifted,unshifted,weight,delta,peaks,shifted_annotated_ratio,shifted_annotated_ambiguity,shifted_annotated_entropy,sirius_availability
CCMSLIB00000848857,CCMSLIB00000846882,0.0,0.5384615384615384,0.4227467380602779,0.9696969696969696,34,0.9979148847025744,3,0,3,479.118,162.05300000000005,10,0.0,-1.0,0.0,True
CCMSLIB00000847433,CCMSLIB00000848653,0.0,0.7,0.7883718039589946,0.8,21,0.8215574362912084,12,8,4,287.055,15.995000000000005,16,0.75,10.166666666666666,1.3692531832254409,True
CCMSLIB00000851008,CCMSLIB00000854335,0.0,0.5,0.1519421714501168,0.5357142857142857,29,0.2074048765668611,9,1,8,423.15,162.03100000000006,62,1.0,5.0,0.0143963581493038,True
CCMSLIB00000848846,CCMSLIB00000848668,0.0,0.6470588235294118,0.5879752412212551,0.8809523809523809,43,0.996831032941666,4,0,4,611.16,146.058,4,0.0,-1.0,0.0,True
CCMSLIB00000847858,CCMSLIB00005721176,0.0,0.5,0.3938625008199224,0.9142857142857144,36,0.99644890638801,12,2,10,507.113,43.988999999999976,15,1.0,8.5,0.7437020891447884,True
CCMSLIB00000846413,CCMSLIB00000846803,0.0,0.8333333333333334,0.5593815920551068,0.7931034482758621,30,0.9820005692390754,4,0,4,419.097,43.99000000000001,9,0.0,-1.0,0.0,True
CCMSLIB00000848333,CCMSLIB00000846086,0.0,0.5384615384615384,0.6910669602947387,0.7741935483870968,32,0.2884667374426981,32,1,31,449.108,132.04199999999997,52,1.0,36.0,0.0855290249249076,True
CCMSLIB00005721314,CCMSLIB00000845675,0.0,0.4545454545454545,0.6180599706589857,0.8888888888888888,28,0.3781877062574788,35,0,35,395.134,146.03599999999994,98,0.0,-1.0,0.0,False
CCMSLIB00000855180,CCMSLIB00000852462,0.5,1.0,0.7166681557885419,1.0,50,0.8741241788446643,53,6,47,713.374,42.01099999999997,100,0.5,7.666666666666667,0.1700683031442257,True
CCMSLIB00000845616,CCMSLIB00000848357,0.0,0.9523809523809524,0.6269625025597215,0.7884615384615384,53,0.9996808219914342,9,4,5,757.218,14.016000000000076,12,1.0,15.0,0.8248035336974316,True
CCMSLIB00000854373,CCMSLIB00000852108,0.0,0.125,0.0004559441743721,0.2608695652173913,24,0.5155858278460358,36,9,27,333.17,14.014999999999986,99,0.2222222222222222,1.0,0.0,True
CCMSLIB00000854975,CCMSLIB00000852261,0.125,1.0,0.8397572306426546,0.8260869565217391,24,0.7636332406623718,4,4,0,339.107,30.010999999999967,5,0.75,2.333333333333333,0.3243720864865315,True
CCMSLIB00000848355,CCMSLIB00000845960,0.0,0.3529411764705882,0.4521149487972858,0.9761904761904762,43,0.9987267737643836,5,0,5,611.16,132.043,6,0.0,-1.0,0.0,True
CCMSLIB00000855420,CCMSLIB00000847730,0.0,0.6666666666666666,0.6065306900391642,0.5,27,0.8777368200415427,26,14,12,390.147,72.02100000000002,54,0.5,1.5714285714285714,0.0300344524524566,True
CCMSLIB00000848888,CCMSLIB00000847954,0.0,0.8235294117647058,0.6907576272492372,0.7547169811320755,54,0.9996342467426798,9,6,3,771.234,30.010999999999967,9,0.6666666666666666,11.5,1.0384404872839588,True
CCMSLIB00000845309,CCMSLIB00000846841,0.0,0.3333333333333333,0.2590983156627252,0.5384615384615384,14,0.7752917787590832,9,2,7,197.128,14.01600000000002,24,0.5,2.0,0.0577622650466621,True
CCMSLIB00000847757,CCMSLIB00000845245,0.0,0.7647058823529411,0.603303066329021,0.8809523809523809,43,0.9658017140804396,7,2,5,611.16,15.995000000000005,20,1.0,14.0,0.936795406883687,True
